Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_402,11.72,-31.0,0.0,bottom
C2,100n,C_402,11.82,-26.9,0.0,bottom
C3,100n,C_402,16.6,-36.473109,270.0,bottom
C4,100n,C_402,23.85,-26.6,180.0,bottom
C5,100n,C_402,23.85,-31.0,180.0,bottom
C6,100n,C_402,17.3,-23.2,90.0,bottom
C7,4.7u,C_805,1.95,-23.95,90.0,bottom
C8,4.7u,C_805,5.85,-28.0,0.0,bottom
C9,1u,C_402,12.9,-24.1,90.0,bottom
C10,1u,C_402,14.2,-24.1,90.0,bottom
C11,100n,C_402,15.35,-36.469975,270.0,bottom
C12,100n,C_402,18.6,-23.2,90.0,bottom
C13,100n,C_402,16.0,-23.2,90.0,bottom
C14,100n,C_402,11.6,-24.1,90.0,bottom
C15,30p,C_402,23.5,-36.95,90.0,bottom
C16,30p,C_402,17.75,-39.35,90.0,bottom
C17,100n,C_402,21.3,-21.1,180.0,bottom
C18,100n,C_402,-4.0,-23.7,0.0,bottom
C19,100n,C_402,-2.0,-27.7625,90.0,bottom
C20,100n,C_402,7.8,-6.8,180.0,bottom
C21,100n,C_402,49.75,-8.2,270.0,bottom
C22,100n,C_402,88.25,-8.2,270.0,bottom
C23,100n,C_402,126.8,-8.2,270.0,bottom
C24,100n,C_402,165.8,-8.2,270.0,bottom
C25,100n,C_402,204.3,-8.2,270.0,bottom
C26,100n,C_402,240.9,-6.75,0.0,bottom
C27,100n,C_402,280.9,-6.85,0.0,bottom
C28,100n,C_402,274.2,-67.25,90.0,bottom
C29,100n,C_402,235.2,-67.25,90.0,bottom
C30,100n,C_402,196.720129,-67.25,90.0,bottom
C31,100n,C_402,158.205378,-67.244622,90.0,bottom
C32,100n,C_402,119.155378,-67.27,90.0,bottom
C33,100n,C_402,80.7,-67.23,90.0,bottom
C34,100n,C_402,42.155378,-67.23,90.0,bottom
C35,100n,C_402,3.1,-67.82,90.0,bottom
D1,WS2812B,WS6812_Mini,6.0,-9.5,0.0,bottom
D2,WS2812B,WS6812_Mini,46.0,-9.5,0.0,bottom
D3,WS2812B,WS6812_Mini,84.5,-9.53,0.0,bottom
D4,WS2812B,WS6812_Mini,123.0,-9.5,0.0,bottom
D5,WS2812B,WS6812_Mini,162.0,-9.5,0.0,bottom
D6,WS2812B,WS6812_Mini,200.5,-9.5,0.0,bottom
D7,WS2812B,WS6812_Mini,239.0,-9.5,0.0,bottom
D8,WS2812B,WS6812_Mini,279.0,-9.5,0.0,bottom
D9,WS2812B,WS6812_Mini,278.0,-66.75,180.0,bottom
D10,WS2812B,WS6812_Mini,239.0,-66.75,180.0,bottom
D11,WS2812B,WS6812_Mini,200.5,-66.75,180.0,bottom
D12,WS2812B,WS6812_Mini,162.0,-66.75,180.0,bottom
D13,WS2812B,WS6812_Mini,123.0,-66.75,180.0,bottom
D14,WS2812B,WS6812_Mini,84.5,-66.75,180.0,bottom
D15,WS2812B,WS6812_Mini,46.0,-66.75,180.0,bottom
D16,WS2812B,WS6812_Mini,7.0,-66.75,180.0,bottom
D17,1N4148W,D_SOD-123,-6.3,-9.6,90.0,bottom
D18,1N4148W,D_SOD-123,12.0,-18.15,90.0,bottom
D19,1N4148W,D_SOD-123,8.75,-41.5,90.0,bottom
D20,1N4148W,D_SOD-123,18.5,-60.5,90.0,bottom
D21,1N4148W,D_SOD-123,11.5,-79.5,90.0,bottom
D22,1N4148W,D_SOD-123,29.75,-3.5,270.0,bottom
D23,1N4148W,D_SOD-123,35.2,-22.6,90.0,bottom
D25,1N4148W,D_SOD-123,44.6,-3.4,90.0,bottom
D26,1N4148W,D_SOD-123,54.2,-22.6,90.0,bottom
D27,1N4148W,D_SOD-123,40.0,-41.5,90.0,bottom
D28,1N4148W,D_SOD-123,49.5,-60.5,90.0,bottom
D29,1N4148W,D_SOD-123,40.0,-79.5,90.0,bottom
D30,1N4148W,D_SOD-123,63.6,-3.4,90.0,bottom
D31,1N4148W,D_SOD-123,73.2,-22.6,90.0,bottom
D32,1N4148W,D_SOD-123,59.0,-41.5,90.0,bottom
D33,1N4148W,D_SOD-123,68.5,-60.5,90.0,bottom
D34,1N4148W,D_SOD-123,82.75,-3.5,90.0,bottom
D35,1N4148W,D_SOD-123,92.4,-22.6,90.0,bottom
D36,1N4148W,D_SOD-123,78.0,-41.5,90.0,bottom
D37,1N4148W,D_SOD-123,87.5,-60.5,90.0,bottom
D38,1N4148W,D_SOD-123,101.8,-3.4,90.0,bottom
D39,1N4148W,D_SOD-123,111.4,-22.6,90.0,bottom
D40,1N4148W,D_SOD-123,97.0,-41.5,90.0,bottom
D41,1N4148W,D_SOD-123,106.75,-60.5,90.0,bottom
D42,1N4148W,D_SOD-123,120.8,-3.4,90.0,bottom
D43,1N4148W,D_SOD-123,130.4,-22.6,90.0,bottom
D44,1N4148W,D_SOD-123,116.0,-41.5,90.0,bottom
D45,1N4148W,D_SOD-123,125.75,-60.5,90.0,bottom
D46,1N4148W,D_SOD-123,121.0,-79.5,90.0,bottom
D47,1N4148W,D_SOD-123,140.2,-3.4,90.0,bottom
D48,1N4148W,D_SOD-123,149.4,-22.6,90.0,bottom
D49,1N4148W,D_SOD-123,135.25,-41.5,90.0,bottom
D50,1N4148W,D_SOD-123,144.75,-60.5,90.0,bottom
D51,1N4148W,D_SOD-123,159.0,-3.4,90.0,bottom
D52,1N4148W,D_SOD-123,168.6,-22.6,90.0,bottom
D53,1N4148W,D_SOD-123,154.25,-41.5,90.0,bottom
D54,1N4148W,D_SOD-123,163.75,-60.5,90.0,bottom
D55,1N4148W,D_SOD-123,178.0,-3.4,90.0,bottom
D56,1N4148W,D_SOD-123,187.6,-22.6,90.0,bottom
D57,1N4148W,D_SOD-123,173.25,-41.5,90.0,bottom
D58,1N4148W,D_SOD-123,182.75,-60.5,90.0,bottom
D59,1N4148W,D_SOD-123,197.0,-3.4,90.0,bottom
D60,1N4148W,D_SOD-123,206.6,-22.6,90.0,bottom
D61,1N4148W,D_SOD-123,192.25,-41.5,90.0,bottom
D62,1N4148W,D_SOD-123,202.0,-60.5,90.0,bottom
D63,1N4148W,D_SOD-123,202.0,-79.5,90.0,bottom
D64,1N4148W,D_SOD-123,216.2,-3.4,90.0,bottom
D65,1N4148W,D_SOD-123,225.6,-22.6,90.0,bottom
D66,1N4148W,D_SOD-123,211.25,-41.5,90.0,bottom
D67,1N4148W,D_SOD-123,221.0,-60.5,90.0,bottom
D68,1N4148W,D_SOD-123,235.2,-3.4,90.0,bottom
D69,1N4148W,D_SOD-123,244.8,-22.6,90.0,bottom
D70,1N4148W,D_SOD-123,230.5,-41.5,90.0,bottom
D71,1N4148W,D_SOD-123,247.25,-60.5,90.0,bottom
D72,1N4148W,D_SOD-123,230.5,-79.5,90.0,bottom
D74,1N4148W,D_SOD-123,254.25,-79.5,90.0,bottom
D75,1N4148W,D_SOD-123,263.8,-3.4,90.0,bottom
D76,1N4148W,D_SOD-123,268.6,-22.6,90.0,bottom
D77,1N4148W,D_SOD-123,261.5,-41.5,90.0,bottom
D78,1N4148W,D_SOD-123,273.5,-60.5,90.0,bottom
D79,1N4148W,D_SOD-123,273.25,-79.5,90.0,bottom
D80,1N4148W,D_SOD-123,292.2,-3.4,90.0,bottom
D81,1N4148W,D_SOD-123,292.2,-22.6,90.0,bottom
D82,1N4148W,D_SOD-123,292.25,-41.5,90.0,bottom
D83,1N4148W,D_SOD-123,292.25,-60.5,90.0,bottom
D84,1N4148W,D_SOD-123,289.0,-79.5,90.0,bottom
F1,SMD0805-110,F_805,-0.05,-9.55,90.0,bottom
FB1,CBW201209U121T,R_805,15.78,5.94,90.0,bottom
J1,USB_B_Mini,HRO-U-M-M5DD-W-1,9.52,2.46,0.0,bottom
R1,1000,R_402,17.75,-36.95,90.0,bottom
R2,27,R_402,14.4,-20.5,270.0,bottom
R3,27,R_402,15.7,-20.5,270.0,bottom
R4,10k,R_402,12.3,-35.25,180.0,bottom
R5,10k,R_402,23.5,-21.1,0.0,bottom
R6,1000,R_402,25.2,-20.6,270.0,bottom
R7,10k,R_402,-2.0,-25.4625,90.0,bottom
SW1,K2-1187SQ-A4SW-06,K2-1187SQ-B4SW-06,100.0,-76.0,90.0,bottom
SW2,K2-1187SQ-A4SW-06,K2-1187SQ-B4SW-06,90.0,-76.0,270.0,bottom
SW3,`,MX_Kailh_Socket_1u,0.0,-0.0,180.0,bottom
SW4,Tab,Mx_Kailh_Socket_15u,4.7625,-19.05,0.0,bottom
SW5,Caps,Mx_Kailh_Socket_Stepped_175u,-2.38125,-38.1,0.0,bottom
SW6,LShift,Mx_Kailh_Socket_225u,11.90625,-57.485,0.0,bottom
SW7,LCtrl,Mx_Kailh_Socket_15u,4.7625,-76.2,0.0,bottom
SW10,1,MX_Kailh_Socket_1u,19.05,-0.0,180.0,bottom
SW11,Q,MX_Kailh_Socket_1u,28.575,-19.05,0.0,bottom
SW13,2,MX_Kailh_Socket_1u,38.1,-0.0,0.0,bottom
SW14,W,MX_Kailh_Socket_1u,47.625,-19.05,0.0,bottom
SW15,A,MX_Kailh_Socket_1u,33.3375,-38.1,0.0,bottom
SW16,Z,MX_Kailh_Socket_1u,42.8625,-57.15,0.0,bottom
SW17,LAlt,Mx_Kailh_Socket_15u,33.3375,-76.2,0.0,bottom
SW19,3,MX_Kailh_Socket_1u,57.15,-0.0,0.0,bottom
SW20,E,MX_Kailh_Socket_1u,66.675,-19.05,0.0,bottom
SW21,S,MX_Kailh_Socket_1u,52.3875,-38.1,0.0,bottom
SW22,X,MX_Kailh_Socket_1u,61.9125,-57.15,0.0,bottom
SW23,4,MX_Kailh_Socket_1u,76.2,-0.0,0.0,bottom
SW24,R,MX_Kailh_Socket_1u,85.725,-19.05,0.0,bottom
SW25,D,MX_Kailh_Socket_1u,71.4375,-38.1,0.0,bottom
SW26,C,MX_Kailh_Socket_1u,80.9625,-57.15,0.0,bottom
SW27,5,MX_Kailh_Socket_1u,95.25,-0.0,0.0,bottom
SW28,T,MX_Kailh_Socket_1u,104.775,-19.05,0.0,bottom
SW29,F,MX_Kailh_Socket_1u,90.4875,-38.1,0.0,bottom
SW30,V,MX_Kailh_Socket_1u,100.0125,-57.15,0.0,bottom
SW31,6,MX_Kailh_Socket_1u,114.3,-0.0,0.0,bottom
SW32,Y,MX_Kailh_Socket_1u,123.825,-19.05,0.0,bottom
SW33,G,MX_Kailh_Socket_1u,109.5375,-38.1,0.0,bottom
SW34,B,MX_Kailh_Socket_1u,119.0625,-57.15,0.0,bottom
SW35,Space,Mx_Kailh_Socket_7u_North_Stab,114.3,-75.865,0.0,bottom
SW37,7,MX_Kailh_Socket_1u,133.35,-0.0,0.0,bottom
SW38,U,MX_Kailh_Socket_1u,142.875,-19.05,0.0,bottom
